,time,device,location,b1dw,b1uw,b2dw,b2uw,b3dw,b3uw,b4dw,b4uw,b5dw,b5uw,b6dw,b6uw,b7dw,b7uw,lwdw,lwuw,lfw,p,pardw,paruw,rh,swdw,swuw,s_dw,s_uw,tabove,tair,tbelow,tdew,lat,long,precip,prate,create_time,slp,precip_version,precip_classifier_version,ea,mint,maxt,wind_speed,wind_speed_min,wind_speed_max,wind_heading,wind_direction,etc,et,rh_at_maxt,vpd,max_tdew,min_rh,low_quality,sample_pct,et_version,update_time
10,2021-05-21 10:00:00+00:00,C005252,5fda36c5aaffa700101d3179,0.0080942605,0.0022071777,0.007873082,0.0013768838,0.007402391,0.0016453293,0.005790063,0.0011965258,0.0051342715,0.0011832109,0.005786128,0.0020576646,0.0028919408,0.0006834621,,-418.18326,0.0,98.76417,9.497671,-2.311736,0.6744417,5.686986,-1.1919394,,,,21.773365,19.851334,15.466842,43.07076,-89.40684,0.0,,2021-05-21 10:18:36.981732+00:00,101.85621855740526,20200121_1,,1.7582007317949833,21.449587,22.140795,,,,,,,0.024583334,0.6708,0.8489001145305242,15.732394,0.6677,False,1.0,20210128_1,
11,2021-05-21 11:00:00+00:00,C005252,5fda36c5aaffa700101d3179,0.060512483,0.007091202,0.07361886,0.008854189,0.07079006,0.009040272,0.0620052,0.008204357,0.048481956,0.0069922847,0.046500064,0.0071621,0.024025826,0.0036275527,,-419.13458,0.0,98.81834,90.65731,-14.467688,0.687925,54.283504,-7.459592,,,,21.028479,20.018806,15.065067,43.07076,-89.40684,0.0,,2021-05-21 11:19:19.960057+00:00,101.92003640095766,20200121_1,,1.7134021166455906,20.72113,21.390776,,,,,,,0.038416665,0.6819,0.7773915365802869,15.32266,0.6819,False,1.0,20210128_1,
12,2021-05-21 12:00:00+00:00,C005252,5fda36c5aaffa700101d3179,0.17590493,0.020427464,0.22093514,0.02683596,0.21431564,0.027796524,0.18856855,0.025446035,0.13740681,0.02004021,0.12727664,0.019702876,0.06271868,0.009640222,,-421.8121,0.0,98.88917,259.4749,-41.575794,0.6891083,155.36758,-21.436628,,,,20.999794,20.484526,15.064552,43.07076,-89.40684,0.0,,2021-05-21 12:19:30.744471+00:00,101.99339856021328,20200121_1,,1.7133145859279484,20.783646,21.249454,,,,,,,0.07075,0.6913,0.7729535321635993,15.352344,0.6875,False,1.0,20210128_1,
13,2021-05-21 13:00:00+00:00,C005252,5fda36c5aaffa700101d3179,0.3680863,0.041159872,0.47239217,0.054333717,0.45459357,0.055521965,0.40069285,0.0506035,0.27979276,0.03919835,0.24592683,0.037010413,0.11933282,0.017624274,,-431.27945,0.0,98.8875,536.0629,-80.22813,0.6869083,320.98212,-41.365906,,,,20.978994,22.11766,14.994396,43.07076,-89.40684,0.0,,2021-05-21 13:19:47.812049+00:00,101.99190476041554,20200121_1,,1.705859292756746,20.59066,21.488922,,,,,,,0.18275,0.6809,0.7774807251717287,15.487333,0.6742,False,1.0,20210128_1,
14,2021-05-21 14:00:00+00:00,C005252,5fda36c5aaffa700101d3179,0.3879237,0.041404232,0.50006527,0.055029053,0.47385097,0.055846654,0.420355,0.050915126,0.2958116,0.039459497,0.26048765,0.037181616,0.11856006,0.016861709,,-433.25342,1.0,98.9075,556.6209,-79.91928,0.73158336,333.29175,-41.206665,,,,20.847784,22.440151,15.755424,43.07076,-89.40684,0.36,,2021-05-21 14:20:00.478719+00:00,102.0140043586613,20200121_1,20200325_1,1.7913456252734743,17.9451,21.970062,,,,,,,0.20616667,0.6786,0.6793681793516204,16.486708,0.676,False,1.0,20210128_1,
15,2021-05-21 15:00:00+00:00,C005252,5fda36c5aaffa700101d3179,0.29810527,0.029187303,0.36642838,0.036957625,0.3467702,0.037917048,0.30145946,0.03390526,0.20010695,0.024406094,0.1816657,0.023627453,0.07931822,0.010440395,,-421.12433,0.0,98.91417,392.40164,-51.996185,0.8730583,234.96104,-26.80942,,,,19.31532,20.361559,17.130905,43.07076,-89.40684,0.0,,2021-05-21 15:20:12.508264+00:00,102.0373552028671,20200121_1,,1.9548677639245444,18.669159,20.278223,,,,,,,0.14925,0.8228,0.2865321091280241,17.319649,0.8228,False,1.0,20210128_1,
16,2021-05-21 16:00:00+00:00,C005252,5fda36c5aaffa700101d3179,0.37325802,0.03687916,0.46485555,0.047459684,0.4355909,0.048343685,0.3820459,0.043413837,0.2572813,0.031617884,0.23093328,0.030065306,0.09848418,0.013112686,,-428.26578,0.0,98.99167,494.19135,-65.81389,0.794375,295.91037,-33.933872,,,,20.385387,21.59992,16.689909,43.07076,-89.40684,0.0,,2021-05-21 16:20:21.870065+00:00,102.10572887338402,20200121_1,,1.9010759989388577,19.481337,20.890493,,,,,,,0.21441667,0.7666,0.4935766985350456,17.013723,0.7666,False,1.0,20210128_1,
17,2021-05-21 17:00:00+00:00,C005252,5fda36c5aaffa700101d3179,0.33532673,0.030608056,0.41443765,0.038618255,0.39537373,0.03981639,0.34327534,0.035588704,0.23027426,0.025888363,0.21021472,0.025322964,0.08974563,0.010984954,,-419.51196,1.0,99.00636,445.5796,-54.70311,0.89721817,266.8028,-28.205118,,,,19.092264,20.083616,17.34678,43.07076,-89.40684,0.47,,2021-05-21 17:20:26.133635+00:00,102.13488058086182,20200121_1,20200325_1,1.9819620115117602,18.78213,19.789604,,,,,,,0.14483333,0.8492,0.22772025208626176,17.662365,0.8492,False,0.92,20210128_1,
18,2021-05-21 18:00:00+00:00,C005252,5fda36c5aaffa700101d3179,0.42243737,0.041491393,0.5284949,0.053271893,0.49837533,0.054378238,0.4352397,0.048649475,0.29862913,0.0363484,0.2691852,0.034782536,0.11579679,0.015348234,,-428.91684,0.0,98.99834,571.3782,-76.00581,0.8649,342.12808,-39.18887,,,,20.216719,21.712599,17.873056,43.07076,-89.40684,0.0,,2021-05-21 18:20:58.054796+00:00,102.11441985880361,20200121_1,,2.0487032351897576,19.764906,20.81325,,,,,,,0.2505,0.8398,0.3207886752070089,18.080889,0.8398,False,1.0,20210128_1,
19,2021-05-21 19:00:00+00:00,C005252,5fda36c5aaffa700101d3179,0.2620609,0.027924957,0.32142833,0.03524137,0.3021339,0.035788573,0.2617171,0.03180814,0.17347255,0.0228271,0.157137,0.021824406,0.06568719,0.009326853,,-429.34875,0.0,99.019165,335.70163,-48.106697,0.82899165,201.01039,-24.803984,,,,21.063765,21.788712,18.031595,43.07076,-89.40684,0.0,,2021-05-21 19:20:44.619260+00:00,102.12679399697906,20200121_1,,2.0692271882884716,20.773294,21.422562,,,,,,,0.16825,0.8252,0.4269317616760537,18.309088,0.8252,False,1.0,20210128_1,
20,2021-05-21 20:00:00+00:00,C005252,5fda36c5aaffa700101d3179,0.24075967,0.025853405,0.29689357,0.032900125,0.27979246,0.033510335,0.24360615,0.029920895,0.16252111,0.021518143,0.14831582,0.020705048,0.062108226,0.008838333,,-429.64172,0.0,99.02583,314.268,-45.253746,0.81736666,188.17644,-23.332993,,,,21.418,21.838902,18.151808,43.07076,-89.40684,0.0,,2021-05-21 20:21:07.185750+00:00,102.12987534673086,20200121_1,,2.0848988689943155,21.09025,21.864813,,,,,,,0.108166665,0.813,0.46614213194969617,18.502777,0.8076,False,1.0,20210128_1,
21,2021-05-21 21:00:00+00:00,C005252,5fda36c5aaffa700101d3179,0.1813224,0.016711598,0.22320487,0.02099921,0.21397875,0.021601528,0.1860111,0.019327985,0.12501958,0.014053453,0.11539246,0.013934508,0.04958711,0.0060255537,,-422.6974,1.0,99.04667,239.7037,-29.576338,0.8942417,143.52904,-15.249665,,,,20.393145,20.639639,18.574965,43.07076,-89.40684,3.06,,2021-05-21 21:23:50.905619+00:00,102.16237261181742,20200121_1,20200325_1,2.140965567818349,20.119541,21.279503,,,,,,,0.11575,0.8325,0.25459156003732625,18.768873,0.8325,False,1.0,20210128_1,
22,2021-05-21 22:00:00+00:00,C005252,5fda36c5aaffa700101d3179,0.17230396,0.015989324,0.21240625,0.019999558,0.2033654,0.02065744,0.17803727,0.018527456,0.12273419,0.0139684,0.11412214,0.013859934,0.05093262,0.0062348754,,-423.21313,1.0,99.035,236.35442,-29.38553,0.90241665,141.52357,-15.151284,,,,20.376738,20.72882,18.710482,43.07076,-89.40684,0.39,,2021-05-21 22:21:32.940085+00:00,102.15051269218486,20200121_1,20200325_1,2.1593129688665114,19.989717,20.623966,,,,,,,0.149,0.9016,0.23348426090822047,18.984266,0.8971,False,1.0,20210128_1,
23,2021-05-21 23:00:00+00:00,C005252,5fda36c5aaffa700101d3179,0.09270077,0.009026497,0.1118796,0.01102528,0.10794115,0.011331383,0.09330042,0.0101122735,0.0649302,0.0077012554,0.061318666,0.0077945776,0.027922787,0.003537186,,-416.20737,0.0,99.03167,125.93701,-16.36392,0.90928334,75.40817,-8.437296,,,,19.916414,19.505775,18.37692,43.07076,-89.40684,0.0,,2021-05-21 23:21:48.267035+00:00,102.15204266863473,20200121_1,,2.1145170546365777,19.780699,20.06292,,,,,,,0.10333333,0.9066,0.21096096019627153,18.484777,0.9043,False,1.0,20210128_1,
24,2021-05-22 00:00:00+00:00,C005252,5fda36c5aaffa700101d3179,0.039130826,0.0039785816,0.051665165,0.0051263594,0.050614018,0.0052735773,0.045428976,0.004901436,0.03563765,0.0041817883,0.03522601,0.004599481,0.015188794,0.0019316273,,-411.34488,1.0,99.035,66.25667,-8.701146,0.9224167,39.672966,-4.486342,,,,19.707058,18.646704,18.398273,43.07076,-89.40684,0.37,,2021-05-22 00:21:50.918983+00:00,102.15774689304068,20200121_1,20200325_1,2.1173508825082865,19.58444,19.933321,,,,,,,0.07225,0.9156,0.1781598796080677,18.509356,0.9105,False,1.0,20210128_1,
25,2021-05-22 01:00:00+00:00,C005252,5fda36c5aaffa700101d3179,0.0055291886,0.0020042341,0.0077516516,0.0011989919,0.008142861,0.001491087,0.008236904,0.0012855936,0.009539917,0.0014833491,0.01133482,0.0024271891,0.0041575185,0.0007710129,,-406.61514,1.0,99.0475,16.407438,-2.857012,0.926,9.824395,-1.4730855,,,,19.715096,17.80421,18.468458,43.07076,-89.40684,0.04,,2021-05-22 01:22:02.138702+00:00,102.17055369116599,20200121_1,20200325_1,2.126683551798175,19.56155,19.835728,,,,,,,0.023083333,0.9271,0.16995151349398394,18.606905,0.925,False,1.0,20210128_1,
26,2021-05-22 02:00:00+00:00,C005252,5fda36c5aaffa700101d3179,0.0018665439,0.0018607255,0.0013714912,0.0007944769,0.0021064274,0.0011440637,0.0010267614,0.0007773168,0.001122991,0.00075144926,0.0022751174,0.0018151774,0.00068560406,0.00047045303,,-404.8396,1.0,99.043335,1.5577829,-1.2983533,0.931525,0.9327645,-0.6694356,,,,19.550314,17.485865,18.399952,43.07076,-89.40684,0.18,,2021-05-22 02:21:54.944217+00:00,102.16804127424905,20200121_1,20200325_1,2.1175806169234854,19.370872,19.70332,,,,,,,0.003916667,0.9279,0.1556820400703933,18.516325,0.9279,False,1.0,20210128_1,
27,2021-05-22 03:00:00+00:00,C005252,5fda36c5aaffa700101d3179,0.00192526,0.0017518327,0.0013650749,0.00079446874,0.0020040462,0.0011601227,0.0010726845,0.0007633254,0.0011374673,0.000731916,0.002186782,0.0017905437,0.0006694998,0.00045292568,,-399.72577,1.0,99.0575,1.50411,-1.3324674,0.94180834,0.90062636,-0.68702495,,,,19.228868,16.563885,18.256315,43.07076,-89.40684,0.5,,2021-05-22 03:22:16.407888+00:00,102.186144336932,20200121_1,20200325_1,2.0985763293655073,19.13377,19.333853,,,,,,,0.00033333333,0.9413,0.12966263903569875,18.355366,0.9406,False,1.0,20210128_1,
28,2021-05-22 04:00:00+00:00,C005252,5fda36c5aaffa700101d3179,0.0017784967,0.0018211097,0.0012883556,0.00076931383,0.0019378738,0.0011183518,0.0010103688,0.0007895275,0.00116642,0.0007034973,0.0021664444,0.0017905249,0.0006925358,0.00046775982,,-395.56592,1.0,99.074165,1.5529379,-1.3076469,0.941425,0.9298634,-0.6742274,,,,18.884207,15.806735,17.907694,43.07076,-89.40684,0.03,,2021-05-22 04:22:09.010637+00:00,102.20708963507646,20200121_1,20200325_1,2.0531814146446683,18.542467,19.153416,,,,,,,0.0028333333,0.9388,0.12778910540466412,18.130493,0.9388,False,1.0,20210128_1,
29,2021-05-22 05:00:00+00:00,C005252,5fda36c5aaffa700101d3179,0.0018136782,0.001677601,0.0012819392,0.0007441344,0.0018776447,0.0011087134,0.0009611761,0.0007283708,0.0011316583,0.00074435066,0.0022683176,0.0017946181,0.0006487883,0.00046506047,,-394.0515,1.0,99.07667,1.5626724,-1.3262624,0.94415,0.93569213,-0.68382555,,,,18.523285,15.530036,17.595297,43.07076,-89.40684,0.01,,2021-05-22 05:22:42.577345+00:00,102.21360495580012,20200121_1,20200325_1,2.0130748691649156,18.411615,18.703638,,,,,,,0.004166667,0.9417,0.11909110100003072,17.733168,0.9401,False,1.0,20210128_1,
30,2021-05-22 06:00:00+00:00,C005252,5fda36c5aaffa700101d3179,0.0018489398,0.0017369909,0.0012915418,0.00077470473,0.0019017198,0.0011055397,0.0009906619,0.00074935786,0.0011258889,0.0007176945,0.0022818865,0.0017043069,0.0006533746,0.0004637108,,-395.17798,1.0,99.06,1.4845743,-1.2921764,0.94155,0.88892883,-0.66625077,,,,18.533438,15.736261,17.561699,43.07076,-89.40684,0.01,,2021-05-22 06:22:35.666994+00:00,102.19629961443194,20200121_1,20200325_1,2.008811898061008,18.422369,18.65495,,,,,,,0.004,0.9423,0.12470434703738527,17.694944,0.9406,False,1.0,20210128_1,
31,2021-05-22 07:00:00+00:00,C005252,5fda36c5aaffa700101d3179,0.0018489398,0.0017172168,0.0012947427,0.0007513332,0.0018776722,0.0011022781,0.0009677152,0.00074411905,0.0011316716,0.00071415334,0.002159583,0.0017494624,0.0006511129,0.00041787713,,-396.08514,1.0,99.06333,1.5480707,-1.2425777,0.93656665,0.926949,-0.64067745,,,,18.435589,15.90211,17.380554,43.07076,-89.40684,0.0,,2021-05-22 07:22:45.841859+00:00,102.2008077348496,20200121_1,,1.9859963156915088,18.135378,18.539404,,,,,,,0.0035,0.9385,0.1345062919762842,17.516216,0.9336,False,1.0,20210128_1,
32,2021-05-22 08:00:00+00:00,C005252,5fda36c5aaffa700101d3179,0.0017608658,0.0016726687,0.0013043308,0.000747742,0.0018897234,0.0011408314,0.0009709848,0.00072665367,0.0010795752,0.0006999319,0.002254749,0.0016961019,0.00067181385,0.00043001192,,-396.52362,1.0,99.075,1.5383139,-1.2766495,0.9375833,0.92110693,-0.658245,,,,18.158777,15.982132,17.12311,43.07076,-89.40684,0.0,,2021-05-22 08:23:21.822418+00:00,102.21587206373103,20200121_1,,1.9538824657834233,18.057657,18.223013,,,,,,,0.0018333333,0.9386,0.13007246871745337,17.2145,0.9357,False,1.0,20210128_1,
33,2021-05-22 09:00:00+00:00,C005252,5fda36c5aaffa700101d3179,0.0017902238,0.0017567425,0.0013139334,0.0007567323,0.0018114722,0.0011279901,0.0009808532,0.00077555195,0.0011056298,0.00072301447,0.0022411495,0.0016714494,0.00069942564,0.00045696858,,-395.55576,1.0,99.0925,1.4991982,-1.2332982,0.93504167,0.89768535,-0.6358929,,,,18.004515,15.805323,16.927225,43.07076,-89.40684,0.0,,2021-05-22 09:22:44.431299+00:00,102.23561752949263,20200121_1,,1.9297857087667512,17.795916,18.08787,,,,,,,0.0,0.9367,0.1340734080548685,17.037899,0.931,False,1.0,20210128_1,
34,2021-05-22 10:00:00+00:00,C005252,5fda36c5aaffa700101d3179,0.0075718807,0.002063579,0.008285617,0.0013283248,0.0079918355,0.0015649319,0.0063075344,0.0012961667,0.0052420604,0.0012578189,0.005976615,0.002119062,0.0027172128,0.00069016137,,-396.34866,0.0,99.1175,9.713518,-2.5007386,0.92380834,5.816231,-1.2893897,,,,18.108213,15.947819,16.838825,43.07076,-89.40684,0.0,,2021-05-22 10:22:54.604670+00:00,102.26027410801039,20200121_1,,1.918987563835494,17.889225,18.38823,,,,,,,0.0085,0.9138,0.15842809691626075,16.96583,0.9119,False,1.0,20210128_1,
35,2021-05-22 11:00:00+00:00,C005252,5fda36c5aaffa700101d3179,0.057370987,0.00588872,0.06717053,0.007051791,0.06443657,0.0072660325,0.05441355,0.006420853,0.03883193,0.0050201993,0.03721464,0.00525663,0.018744925,0.0025719858,,-405.95273,0.0,99.138336,75.87557,-10.919481,0.90149164,45.432545,-5.6301236,,,,18.548967,17.685482,16.889786,43.07076,-89.40684,0.0,,2021-05-22 11:23:23.120721+00:00,102.27694407459973,20200121_1,,1.9252555403137546,18.248407,18.774065,,,,,,,0.034916665,0.8959,0.21042152626375962,17.111248,0.8959,False,1.0,20210128_1,
36,2021-05-22 12:00:00+00:00,C005252,5fda36c5aaffa700101d3179,0.18981458,0.019711947,0.23397584,0.024965908,0.22800206,0.025861546,0.19669765,0.02321457,0.13478026,0.017359236,0.12324313,0.01705503,0.061630752,0.008473614,,-411.0033,0.0,99.155,262.15967,-37.16874,0.8791083,156.97516,-19.164335,,,,19.045229,18.585411,16.981419,43.07076,-89.40684,0.0,,2021-05-22 12:21:52.432411+00:00,102.28872514184202,20200121_1,,1.9364395524595768,18.669174,19.412197,,,,,,,0.060666665,0.8613,0.26665347389327076,17.143211,0.8613,False,1.0,20210128_1,
37,2021-05-22 13:00:00+00:00,C005252,5fda36c5aaffa700101d3179,0.44996816,0.042530093,0.5922798,0.055914175,0.5750653,0.057002082,0.50681174,0.051802307,0.33769816,0.039621197,0.28225318,0.037180495,0.14529754,0.017874578,,-426.20306,0.0,99.15,670.5009,-81.42543,0.83084166,401.4805,-41.983246,,,,20.358728,21.241558,17.37226,43.07076,-89.40684,0.0,,2021-05-22 13:23:38.769659+00:00,102.26934179627244,20200121_1,,1.9852862678223167,19.394459,21.460962,,,,,,,0.1745,0.8062,0.40662788020313556,17.975689,0.7961,False,1.0,20210128_1,
38,2021-05-22 14:00:00+00:00,C005252,5fda36c5aaffa700101d3179,0.8190055,0.06822292,1.132778,0.09247914,1.0883952,0.0918843,0.97443354,0.08461528,0.6779386,0.066736564,0.5334436,0.05972466,0.27965719,0.028997108,,-456.7045,0.0,99.11,1268.2378,-130.7661,0.75675,759.39154,-67.42347,,,,22.12865,26.371332,17.61489,43.07076,-89.40684,0.0,,2021-05-22 14:24:09.309143+00:00,102.20909202417896,20200121_1,,2.015659830702923,21.528112,22.796598,,,,,,,0.31916666,0.7337,0.6490316535908361,17.830614,0.7337,False,1.0,20210128_1,
